reference	data.jso	thumbnail.png	index.html	volume.nrrd
VFB_00024162 	0	0	0	1
VFB_00024163 	0	0	0	1
VFB_00024164 	0	0	0	1
VFB_00024165 	0	0	0	1
VFB_00024166 	0	0	0	1
VFB_00024167 	0	0	0	1
VFB_00024168 	0	0	0	1
VFB_00024169 	0	0	0	1
VFB_00024170 	0	0	0	1
VFB_00024171 	0	0	0	1
VFB_00024172 	0	0	0	1
VFB_00024173 	0	0	0	1
VFB_00024174 	0	0	0	1
VFB_00024175 	0	0	0	1
VFB_00024176 	0	0	0	1
VFB_00024177 	0	0	0	1
VFB_00024178 	0	0	0	1
VFB_00024179 	0	0	0	1
VFB_00024180 	0	0	0	1
VFB_00024181 	0	0	0	1
VFB_00024182 	0	0	0	1
VFB_00024183 	0	0	0	1
VFB_00024184 	0	0	0	1
VFB_00024185 	0	0	0	1
VFB_00024186 	0	0	0	1
VFB_00024187 	0	0	0	1
VFB_00024188 	0	0	0	1
VFB_00024189 	0	0	0	1
VFB_00024190 	0	0	0	1
VFB_00024191 	0	0	0	1
VFB_00024192 	0	0	0	1
VFB_00024193 	0	0	0	1
VFB_00024194 	0	0	0	1
VFB_00024195 	0	0	0	1
VFB_00024196 	0	0	0	1
VFB_00024197 	0	0	0	1
VFB_00024198 	0	0	0	1
VFB_00024199 	0	0	0	1
VFB_00024200 	0	0	0	1
VFB_00024201 	0	0	0	1
VFB_00024202 	0	0	0	1
VFB_00024203 	0	0	0	1
VFB_00024204 	0	0	0	1
VFB_00024205 	0	0	0	1
VFB_00024206 	0	0	0	1
VFB_00024207 	0	0	0	1
VFB_00024208 	0	0	0	1
VFB_00024209 	0	0	0	1
VFB_00024210 	0	1	0	1
VFB_00024211 	0	0	0	1
VFB_00024212 	0	0	0	1
VFB_00024213 	0	0	0	1
VFB_00024214 	0	0	0	1
VFB_00024215 	0	0	0	1
VFB_00024216 	0	0	0	1
VFB_00024217 	0	0	0	1
VFB_00024218 	0	0	0	1
VFB_00024219 	0	1	0	1
VFB_00024220 	0	0	0	1
VFB_00024221 	0	0	0	1
VFB_00024222 	0	0	0	1
VFB_00024223 	0	0	0	1
VFB_00024224 	0	0	0	1
VFB_00024225 	0	0	0	1
VFB_00024226 	0	0	0	1
VFB_00024227 	0	0	0	1
VFB_00024228 	0	0	0	1
VFB_00024229 	0	0	0	1
VFB_00024230 	0	0	0	1
VFB_00300001 	1	1	1	1
VFB_00300002 	1	1	1	1
VFB_00300003 	1	1	1	1
VFB_00300004 	1	1	1	1
VFB_00300005 	1	1	1	1
VFB_00300006 	1	1	1	1
VFB_00300007 	1	1	1	1
VFB_00300008 	1	1	1	1
VFB_00300009 	1	1	1	1
VFB_a0000011 	1	1	1	0
VFB_a0000012 	1	1	1	0
VFB_a0000013 	1	1	1	0
VFB_a0000020 	1	1	1	0
VFB_a0000021 	1	1	1	0
VFB_a0000022 	1	1	1	0
VFB_a0000023 	1	1	1	0
VFB_a0000024 	1	1	1	0
VFB_a0000025 	1	1	1	0
VFB_a0000026 	1	1	1	0
VFB_a0000027 	1	1	1	0
VFB_a0000028 	1	1	1	0
VFB_a0000029 	1	1	1	0
VFB_a0000030 	1	1	1	0
VFB_a0000031 	1	1	1	0
VFB_a0000032 	1	1	1	0
VFB_a0000033 	1	1	1	0
VFB_a0000034 	1	1	1	0
VFB_a0000035 	1	1	1	0
VFB_a0000036 	1	1	1	0
VFB_a0000037 	1	1	1	0
VFB_a0000038 	1	1	1	0
VFB_a0000039 	1	1	1	0
VFB_a0000040 	1	1	1	0
VFB_a0000041 	1	1	1	0
VFB_a0000042 	1	1	1	0
VFB_a0000043 	1	1	1	0
VFB_a0000044 	1	1	1	0
VFB_a0000045 	1	1	1	0
VFB_a0000046 	1	1	1	0
VFB_a0000047 	1	1	1	0
VFB_a0000048 	1	1	1	0
VFB_a0000049 	1	1	1	0
VFB_a0000050 	1	1	1	0
VFB_a0000051 	1	1	1	0
VFB_a0000052 	1	1	1	0
VFB_a0000053 	1	1	1	0
VFB_a0000054 	1	1	1	0
VFB_a0000055 	1	1	1	0
VFB_a0000056 	1	1	1	0
VFB_a0000057 	1	1	1	0
VFB_a0000058 	1	1	1	0
VFB_a0000059 	1	1	1	0
VFB_a0000060 	1	1	1	0
VFB_a0000061 	1	1	1	0
VFB_a0000062 	1	1	1	0
VFB_a0000063 	1	1	1	0
VFB_a0000064 	1	1	1	0
VFB_a0000065 	1	1	1	0
VFB_a0000066 	1	1	1	0
VFB_a0000067 	1	1	1	0
VFB_a0000068 	1	1	1	0
VFB_a0000069 	1	1	1	0
VFB_a0000070 	1	1	1	0
VFB_a0000071 	1	1	1	0
VFB_a0000072 	1	1	1	0
VFB_a0000073 	1	1	1	0
VFB_a0000074 	1	1	1	0
VFB_a0000075 	1	1	1	0
VFB_a0000076 	1	1	1	0
VFB_a0000077 	1	1	1	0
VFB_a0000078 	1	1	1	0
VFB_a0000079 	1	1	1	0
VFB_a0000080 	1	1	1	0
VFB_a0000081 	1	1	1	0
VFB_a0000082 	1	1	1	0
VFB_a0000083 	1	0	1	0
VFB_a0000084 	1	0	1	0
VFB_a0000085 	1	1	1	0
VFB_a0000086 	1	1	1	0
VFB_a0000087 	1	1	1	0
VFB_a0000088 	1	1	1	0
VFB_a0000089 	1	1	1	0
VFB_a0000090 	1	1	1	0
VFB_a0000091 	1	0	1	0
VFB_a0000092 	1	1	1	0
VFB_a0000093 	1	1	1	0
VFB_a0000094 	1	1	1	0
VFB_a0000095 	1	1	1	0
VFB_a0000096 	1	0	1	0
VFB_a0000097 	1	1	1	0
VFB_a0000098 	1	0	1	0
VFB_a0000099 	1	0	1	0
VFB_a0000100 	1	1	1	0
VFB_a0000101 	1	0	1	0
VFB_a0000102 	1	1	1	0
VFB_a0000103 	1	1	1	0
VFB_a0000104 	1	1	1	0
VFB_a0000105 	1	1	1	0
VFB_a0000106 	1	1	1	0
VFB_a0000107 	1	1	1	0
VFB_a0000108 	1	0	1	0
VFB_a0000109 	1	1	1	0
VFB_a0000110 	1	1	1	0
VFB_a0000111 	1	0	1	0
VFB_a0000112 	1	1	1	0
VFB_a0000113 	1	1	1	0
VFB_a0000114 	1	1	1	0
VFB_a0000115 	1	0	1	0
VFB_a0000116 	1	1	1	0
VFB_a0000117 	1	1	1	0
VFB_a0000118 	1	1	1	0
VFB_a0000119 	1	1	1	0
VFB_a0000120 	1	1	1	0
VFB_a0000121 	1	0	1	0
VFB_a0000122 	1	1	1	0
