Aligned file name	VFB ind name	VFBid
JFRC2_VT000608_GAL4_attP2_4_bridge.nrrd 	VDRC_VT000608_GAL4_attP2_4	VFB_00024449
JFRC2_VT000609_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000609_GAL4_attP2_1	VFB_00024450
JFRC2_VT000610_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000610_GAL4_attP2_1	VFB_00024451
JFRC2_VT000610_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000610_GAL4_attP2_2	VFB_00024452
JFRC2_VT000611_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000611_GAL4_attP2_1	VFB_00024453
JFRC2_VT000611_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000611_GAL4_attP2_2	VFB_00024454
JFRC2_VT000611_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000611_GAL4_attP2_3	VFB_00024455
JFRC2_VT000613_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000613_GAL4_attP2_1	VFB_00024456
JFRC2_VT000618_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000618_GAL4_attP2_1	VFB_00024457
JFRC2_VT000618_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000618_GAL4_attP2_2	VFB_00024458
JFRC2_VT000619_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000619_GAL4_attP2_2	VFB_00024459
JFRC2_VT000620_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000620_GAL4_attP2_2	VFB_00024460
JFRC2_VT000622_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000622_GAL4_attP2_1	VFB_00024461
JFRC2_VT000624_GAL4_attP2_4_bridge.nrrd 	VDRC_VT000624_GAL4_attP2_4	VFB_00024462
JFRC2_VT000624_GAL4_attP2_5_bridge.nrrd 	VDRC_VT000624_GAL4_attP2_5	VFB_00024463
JFRC2_VT000624_GAL4_attP2_6_bridge.nrrd 	VDRC_VT000624_GAL4_attP2_6	VFB_00024464
JFRC2_VT000624_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000624_LexAGAD_attP40_1	VFB_00024465
JFRC2_VT000624_LexAGAD_attP40_2_bridge.nrrd 	VDRC_VT000624_LexAGAD_attP40_2	VFB_00024466
JFRC2_VT000625_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000625_GAL4_attP2_1	VFB_00024467
JFRC2_VT000625_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000625_GAL4_attP2_2	VFB_00024468
JFRC2_VT000625_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000625_GAL4_attP2_3	VFB_00024469
JFRC2_VT000625_GAL4_attP2_4_bridge.nrrd 	VDRC_VT000625_GAL4_attP2_4	VFB_00024470
JFRC2_VT000627_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000627_GAL4_attP2_2	VFB_00024471
JFRC2_VT000628_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000628_GAL4_attP2_2	VFB_00024472
JFRC2_VT000629_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000629_GAL4_attP2_1	VFB_00024473
JFRC2_VT000629_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000629_GAL4_attP2_3	VFB_00024474
JFRC2_VT000629_GAL4_attP2_4_bridge.nrrd 	VDRC_VT000629_GAL4_attP2_4	VFB_00024475
JFRC2_VT000629_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000629_LexAGAD_attP40_1	VFB_00024476
JFRC2_VT000629_LexAGAD_attP40_2_bridge.nrrd 	VDRC_VT000629_LexAGAD_attP40_2	VFB_00024477
