ff	brightest
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000020_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	125
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000020_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	130
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000020_seg003_03_warp_m0g80c8e1e-1x26r4.nrrd	67
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000021_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	111
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000021_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	186
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000022_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	107
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000023_seg003_03_warp_m0g80c8e1e-1x26r4.nrrd	136
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000024_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	111
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000025_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	121
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000026_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	106
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000026_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	56
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000026_seg003_03_warp_m0g80c8e1e-1x26r4.nrrd	124
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000027_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	195
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000027_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	170
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000028_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	75
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000028_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	58
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000028_seg003_03_warp_m0g80c8e1e-1x26r4.nrrd	201
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000029_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	204
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000031_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	207
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000031_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	204
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000032_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	135
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000033_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	216
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000034_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	178
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000034_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	191
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000035_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	171
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000035_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	145
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000036_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	73
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000038_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	135
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000039_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	218
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000039_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	204
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000040_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	136
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000041_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	107
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000042_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	181
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000043_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	214
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000044_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	169
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000045_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	38
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000045_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	116
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000049_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	179
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000050_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	90
